id,Attrition
1677,0.18269521
1678,0.10329826
1679,0.04054633
1680,0.2168495
1681,0.82790184
1682,0.32482606
1683,0.35035908
1684,0.81137496
1685,0.1958555
1686,0.41843635
1687,0.0030945116
1688,0.64123595
1689,0.0047868164
1690,0.09450847
1691,0.88561106
1692,0.88070244
1693,0.024347622
1694,0.008395783
1695,0.5490253
1696,0.0043452117
1697,0.30421644
1698,0.0024669794
1699,0.011530063
1700,0.049294893
1701,0.97336435
1702,0.034845475
1703,0.020208554
1704,0.026473287
1705,0.026659898
1706,0.050530925
1707,0.027927138
1708,0.069845125
1709,0.12879516
1710,0.34465256
1711,0.12585562
1712,0.7937588
1713,0.0073812515
1714,0.55150765
1715,0.00803957
1716,0.020584522
1717,0.073904954
1718,0.13302371
1719,0.010717033
1720,0.0039142156
1721,0.86642796
1722,0.33152986
1723,0.006318258
1724,0.59183705
1725,0.007256382
1726,0.0129226325
1727,0.12976326
1728,0.23720573
1729,0.1844451
1730,0.011992374
1731,0.009055751
1732,0.1547984
1733,0.058577552
1734,0.00062913797
1735,0.18375276
1736,0.06581646
1737,0.069490284
1738,0.431968
1739,0.007781567
1740,0.020609017
1741,0.70659834
1742,0.0070861145
1743,0.21613544
1744,0.026723567
1745,0.0008569182
1746,0.0036923916
1747,0.526179
1748,0.07406055
1749,0.016327824
1750,0.057370834
1751,0.6033235
1752,0.06986584
1753,0.0041675065
1754,0.9253474
1755,0.011484112
1756,0.8972071
1757,0.008058831
1758,0.00019859943
1759,0.012794421
1760,0.16420597
1761,0.0018359221
1762,0.00860949
1763,0.039878175
1764,0.13008505
1765,0.29658
1766,0.005428552
1767,0.012998277
1768,0.9757171
1769,0.08542243
1770,0.23203503
1771,0.13310228
1772,0.00043515823
1773,0.6352365
1774,0.037987396
1775,0.08550138
1776,0.00013843125
1777,0.025359252
1778,0.91737527
1779,0.42185175
1780,0.11885256
1781,0.024168257
1782,0.02491526
1783,0.040014375
1784,0.5142689
1785,0.9226747
1786,0.13802849
1787,0.5631496
1788,0.13621825
1789,0.028020836
1790,0.44525558
1791,0.18557522
1792,0.0012809413
1793,0.8092678
1794,0.0016755977
1795,0.027821494
1796,0.19767629
1797,0.015083881
1798,0.6314068
1799,0.030331165
1800,0.004608102
1801,0.0047619273
1802,0.14854372
1803,0.0073563242
1804,0.083697975
1805,0.99938846
1806,0.14603938
1807,0.10450415
1808,0.32226816
1809,0.069121554
1810,0.076283626
1811,0.00428269
1812,0.12689698
1813,0.88701415
1814,0.047414746
1815,0.007461706
1816,0.31286153
1817,0.0005239874
1818,0.35203612
1819,0.0037322328
1820,0.0052740667
1821,0.10207074
1822,0.034882773
1823,0.0026318242
1824,0.61081135
1825,0.07134214
1826,0.56810796
1827,0.0014440654
1828,0.062059753
1829,0.5979984
1830,0.228412
1831,0.7805826
1832,0.029155979
1833,0.4077473
1834,0.03593004
1835,0.10455672
1836,0.008367221
1837,0.025808388
1838,0.006400027
1839,0.0005572814
1840,0.0635048
1841,0.53602517
1842,0.31132498
1843,0.03820659
1844,0.02985096
1845,0.033892076
1846,0.04286727
1847,0.0019206227
1848,0.0031500736
1849,0.0051629995
1850,0.5458643
