id,Attrition
1677,0.47349513
1678,0.21493013
1679,0.05975396
1680,0.24922526
1681,0.58470553
1682,0.29195496
1683,0.42026833
1684,0.8063714
1685,0.07831636
1686,0.5628338
1687,0.0076336837
1688,0.4975328
1689,0.00936185
1690,0.05932231
1691,0.89642775
1692,0.8172784
1693,0.15625265
1694,0.042585112
1695,0.6722314
1696,0.009687288
1697,0.5259313
1698,0.0065455777
1699,0.09059531
1700,0.20872077
1701,0.947253
1702,0.07548547
1703,0.06434349
1704,0.07192025
1705,0.064455494
1706,0.08793388
1707,0.0526254
1708,0.15038131
1709,0.15999462
1710,0.25775376
1711,0.09117394
1712,0.8725091
1713,0.009747439
1714,0.34867093
1715,0.04741675
1716,0.018352866
1717,0.14041841
1718,0.13292898
1719,0.032150302
1720,0.019158209
1721,0.657765
1722,0.19003898
1723,0.015676888
1724,0.5066072
1725,0.005024467
1726,0.024760365
1727,0.26387435
1728,0.32310322
1729,0.170671
1730,0.011199708
1731,0.0069049597
1732,0.42999583
1733,0.08363435
1734,0.00068232697
1735,0.23079146
1736,0.13694441
1737,0.17748846
1738,0.51114553
1739,0.008182282
1740,0.0151454015
1741,0.6478069
1742,0.018809948
1743,0.22288224
1744,0.035450596
1745,0.0018212984
1746,0.0024313848
1747,0.58563155
1748,0.071977474
1749,0.03226664
1750,0.08496615
1751,0.6115036
1752,0.0646195
1753,0.006333062
1754,0.85828453
1755,0.017166689
1756,0.9241513
1757,0.03521919
1758,0.0009928221
1759,0.028211711
1760,0.11388071
1761,0.0044881906
1762,0.016121788
1763,0.07394592
1764,0.12901607
1765,0.28763556
1766,0.0297638
1767,0.02438047
1768,0.99177015
1769,0.0686962
1770,0.13517347
1771,0.09503179
1772,0.0009810475
1773,0.7212184
1774,0.05435333
1775,0.16258153
1776,0.0003942844
1777,0.026977565
1778,0.95318395
1779,0.31267568
1780,0.17337343
1781,0.032830037
1782,0.018543605
1783,0.12932779
1784,0.5113541
1785,0.86337173
1786,0.16398415
1787,0.6436018
1788,0.14022368
1789,0.035861865
1790,0.3449266
1791,0.4345265
1792,0.009081162
1793,0.8938595
1794,0.005727764
1795,0.056369435
1796,0.2722513
1797,0.024079245
1798,0.5532955
1799,0.036223367
1800,0.0075679813
1801,0.009351569
1802,0.27060044
1803,0.013896412
1804,0.33290747
1805,0.9983619
1806,0.09411792
1807,0.1494671
1808,0.28741503
1809,0.17684723
1810,0.100491315
1811,0.016669089
1812,0.076524176
1813,0.8739402
1814,0.075635836
1815,0.018074417
1816,0.362724
1817,0.0019767599
1818,0.27809078
1819,0.008024684
1820,0.013496231
1821,0.16310991
1822,0.10018398
1823,0.014558198
1824,0.74698406
1825,0.047991
1826,0.54634064
1827,0.0053713373
1828,0.088970855
1829,0.5840054
1830,0.4262077
1831,0.827062
1832,0.017161606
1833,0.25518662
1834,0.04298171
1835,0.2060848
1836,0.028828641
1837,0.08272522
1838,0.011252691
1839,0.00511313
1840,0.07953625
1841,0.3719218
1842,0.189805
1843,0.050824046
1844,0.03632713
1845,0.04962894
1846,0.04320988
1847,0.00643096
1848,0.010684016
1849,0.00940638
1850,0.6526239
1851,0.682644
1852,0.08006119
1853,0.22944468
1854,0.09799712
1855,0.8412464
1856,0.60379845
1857,0.011020636
1858,0.2705059
1859,0.010670089
1860,0.0035561922
1861,0.09431673
1862,0.015095816
1863,0.8045447
1864,0.018621095
1865,0.06408983
1866,0.36042383
1867,0.015193479
1868,0.8700154
1869,0.65628856
1870,0.35769796
1871,0.07346229
1872,0.017638355
1873,0.043855052
1874,0.045619596
1875,0.01626203
1876,0.29443738
1877,0.09722265
1878,0.017735476
1879,0.018083652
1880,0.5518145
1881,0.05327898
1882,0.04609902
1883,0.020844027
1884,0.0031245456
1885,0.032235667
1886,0.28173658
1887,0.009101511
1888,0.02612885
1889,0.17304243
1890,0.67631805
1891,0.044587143
1892,0.86056936
1893,0.058180436
1894,0.10060656
1895,0.03418534
1896,0.013807559
1897,0.19358237
1898,0.10305951
1899,0.014453272
1900,0.5416302
1901,0.0346104
1902,0.0065233987
1903,0.008303621
1904,0.35674277
1905,0.027667757
1906,0.09476342
1907,0.63410753
1908,0.35533634
1909,0.022371799
1910,0.076051034
1911,0.05057213
1912,0.0023550203
1913,0.01074852
1914,0.049189832
1915,0.070214875
1916,0.31806597
1917,0.15771815
1918,0.054944523
1919,0.03985742
1920,0.0045014387
1921,0.14439225
1922,0.00815429
1923,0.040512018
1924,0.8655955
1925,0.0016687242
1926,0.1984938
1927,0.005682767
1928,0.013392093
1929,0.042008884
1930,0.2130113
1931,0.407719
1932,0.010911257
1933,0.048269883
1934,0.9028824
1935,0.043723945
1936,0.79490006
1937,0.03956762
1938,0.7105426
1939,0.4574706
1940,0.014453951
1941,0.04719954
1942,0.3435248
1943,0.10181517
1944,0.022825597
1945,0.0026124313
1946,0.16966645
1947,0.3308275
1948,0.19005634
1949,0.032093782
1950,0.012025618
1951,0.11938784
1952,0.14973357
1953,0.000890639
1954,0.031141087
1955,0.009382724
1956,0.006054586
1957,0.1080938
1958,0.22055012
1959,0.0066179316
1960,0.87089247
1961,0.014427579
1962,0.033135843
1963,0.06262111
1964,0.7976617
1965,0.34723186
1966,0.0013645263
1967,0.7485111
1968,0.79708886
1969,0.040121518
